수집일,수집시각,사이트,카테고리,순위,브랜드,상품명,가격,링크,이미지
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,1,,[보령약국 X Pantio] 다이어트 컷 올인원 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=033991021&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/xVYROwLnuZYLoqWwcjU6033991021_00_00xVYROwLnuZYLoqWwcjU6.png
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,2,,휴럼 하루한알 침향환 9환 9일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157094&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260826/thumb/300/o7EiJdX7BYMCuTvEmVmE919157094_00_01o7EiJdX7BYMCuTvEmVmE.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,3,,[신혜선 PICK] 동국제약  프라임도스 비타민B 맥스 30정 30일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911093&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/Q823T3m7aYDYd4gzOILy610911093_00_01Q823T3m7aYDYd4gzOILy.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,4,,닥터블릿 푸응 7 Days 슬립앤버닝 14정 7일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=032306284&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260805/thumb/300/e483TrUWUwCko9CBv1Da032306284_00_00e483TrUWUwCko9CBv1Da.png
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,5,,휴럼 하루한포 유기농 양배추분말 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157058&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260706/thumb/300/7ivzhVU9jk8zl5gsOS7L919157058_00_017ivzhVU9jk8zl5gsOS7L.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,6,,[신혜선 PICK] 동국제약 마데카 글루타치온 필름 12매 12일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911099&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260728/thumb/300/NbSqiy25P90IFlYxB3ux610911099_00_01NbSqiy25P90IFlYxB3ux.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,7,,[신혜선 PICK] 동국제약  프라임도스 비오틴 5000 60정 60일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911094&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/pgiWPPVQ81EjmmAhiAIj610911094_00_01pgiWPPVQ81EjmmAhiAIj.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,8,,[신혜선 PICK] 동국제약 프라임도스 비타민C 2000 30포 30일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=610911092&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260814/thumb/300/qU3FUPerTqzVYxrqf7Lx610911092_00_01qU3FUPerTqzVYxrqf7Lx.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,9,,휴럼 하루한알 6년근 고려 홍삼환 9환 9일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157095&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260826/thumb/300/gxSEg0bfLulOAScPenvi919157095_00_01gxSEg0bfLulOAScPenvi.jpg
2026-09-12,2026-09-12 13:57,다이소몰,건강식품,10,,휴럼 하루한포 유기농 야채분말 15포 15일분,5000,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=919157056&recmYn=N,https://cdn.daisomall.co.kr/file/resize/PD/20260706/thumb/300/z42ScLP7B6TWURzgDPY0919157056_00_01z42ScLP7B6TWURzgDPY0.jpg
